wl,n,k
6.95E+00,1.296751,3.21E-02
7.00E+00,1.295193,3.20E-02
7.05E+00,1.293609,3.19E-02
7.10E+00,1.292093,3.20E-02
7.14E+00,1.290696,3.20E-02
7.19E+00,1.289296,3.20E-02
7.24E+00,1.287944,3.22E-02
7.29E+00,1.286624,3.22E-02
7.35E+00,1.285242,3.23E-02
7.40E+00,1.283912,3.24E-02
7.45E+00,1.282606,3.25E-02
7.50E+00,1.281248,3.26E-02
7.55E+00,1.279895,3.27E-02
7.60E+00,1.278508,3.28E-02
7.66E+00,1.277123,3.30E-02
7.69E+00,1.27622,3.31E-02
7.74E+00,1.274794,3.32E-02
7.80E+00,1.273363,3.35E-02
7.85E+00,1.271952,3.37E-02
7.91E+00,1.270543,3.39E-02
7.94E+00,1.269613,3.41E-02
8.00E+00,1.268163,3.43E-02
8.05E+00,1.266657,3.45E-02
8.09E+00,1.265652,3.47E-02
8.15E+00,1.264125,3.49E-02
8.20E+00,1.262564,3.51E-02
8.24E+00,1.261488,3.53E-02
8.30E+00,1.259903,3.56E-02
8.36E+00,1.25824,3.58E-02
8.39E+00,1.257072,3.60E-02
8.45E+00,1.255384,3.64E-02
8.49E+00,1.25422,3.65E-02
8.55E+00,1.252405,3.69E-02
8.59E+00,1.251193,3.71E-02
8.65E+00,1.249353,3.75E-02
8.71E+00,1.247433,3.78E-02
8.75E+00,1.246095,3.81E-02
8.79E+00,1.244791,3.84E-02
8.85E+00,1.242789,3.88E-02
8.89E+00,1.241424,3.92E-02
8.95E+00,1.239322,3.95E-02
8.99E+00,1.237862,3.99E-02
9.06E+00,1.235657,4.03E-02
9.10E+00,1.234142,4.07E-02
9.14E+00,1.232659,4.11E-02
9.20E+00,1.230259,4.15E-02
9.25E+00,1.228589,4.20E-02
9.29E+00,1.226967,4.23E-02
9.35E+00,1.224439,4.29E-02
9.40E+00,1.222699,4.33E-02
9.44E+00,1.220909,4.37E-02
9.51E+00,1.218113,4.43E-02
9.55E+00,1.216115,4.47E-02
9.59E+00,1.214136,4.54E-02
9.66E+00,1.211068,4.60E-02
9.71E+00,1.208909,4.66E-02
9.75E+00,1.206729,4.72E-02
9.79E+00,1.204471,4.78E-02
9.84E+00,1.202228,4.85E-02
9.91E+00,1.1986,4.93E-02
9.95E+00,1.195932,5.00E-02
1.00E+01,1.193164,5.08E-02
1.00E+01,1.190334,5.17E-02
1.01E+01,1.187365,5.27E-02
1.01E+01,1.1839,5.38E-02
1.02E+01,1.180893,5.80E-02
1.03E+01,1.17836,5.63E-02
1.03E+01,1.174182,5.85E-02
1.04E+01,1.170827,6.00E-02
1.04E+01,1.167354,6.19E-02
1.04E+01,1.16396,6.39E-02
1.05E+01,1.160584,6.62E-02
1.05E+01,1.157248,6.85E-02
1.06E+01,1.153843,7.09E-02
1.06E+01,1.150368,7.36E-02
1.07E+01,1.146959,7.65E-02
1.07E+01,1.143601,7.96E-02
1.08E+01,1.140345,8.29E-02
